CustomerID,Total_Revenue,Average_Order_Value,Total_Orders,Total_Products,Total_Items,Active_days
12346,77183.6,77183.6,1,1,74215,0
12347,4310.0,23.681318681318682,7,103,2458,365
12348,1797.24,57.97548387096774,4,22,2341,282
12349,1757.55,24.076027397260273,1,73,631,0
12350,334.4,19.670588235294115,1,17,197,0
12352,2506.04,29.482823529411764,8,59,536,260
12353,89.0,22.25,1,4,20,0
12354,1079.4,18.610344827586207,1,58,530,0
12355,459.4,35.33846153846154,1,13,240,0
12356,2811.43,47.65135593220339,3,53,1591,302
12357,6207.67,47.38679389312977,1,131,2708,0
12358,1168.06,61.47684210526315,2,13,248,149
12359,6310.03,25.755224489795918,4,213,1609,274
12360,2662.06,20.63612403100775,3,105,1165,148
12361,189.9,18.990000000000002,1,10,91,0
12362,5226.2300000000005,19.64748120300752,10,201,2229,292
12363,552.0,24.0,2,23,408,132
12364,1313.1,15.448235294117646,4,70,1506,104
12365,641.38,29.153636363636362,2,22,174,0
12367,168.9,15.354545454545455,1,11,173,0
12370,3541.94,21.33698795180723,4,143,2352,309
12371,1887.96,29.96761904761905,2,63,591,14
12372,1298.04,24.962307692307693,3,34,794,224
12373,364.6,26.042857142857144,1,14,197,0
12374,742.9300000000001,22.513030303030305,1,33,342,0
12375,457.5,26.91176470588235,2,14,178,87
12377,1628.1200000000001,21.144415584415587,2,72,944,39
12378,4008.62,18.30420091324201,1,219,2529,0
12379,852.24,21.306,2,39,407,88
12380,2724.81,26.200096153846154,4,77,1127,164
12381,1845.31,21.21045977011494,5,70,808,115
12383,1850.56,18.69252525252525,5,84,1532,167
12384,585.27,21.676666666666666,2,26,126,92
12386,401.9,40.19,2,10,354,29
12388,2780.66,27.8066,6,58,1462,311
12390,549.84,17.1825,1,32,353,0
12391,439.66,4.72752688172043,1,92,293,0
12393,1582.6000000000001,24.728125000000002,4,49,816,260
12394,1272.48,47.12888888888889,2,26,819,153
12395,3018.63,19.350192307692307,12,91,2118,351
12397,2409.9,19.126190476190477,2,110,1263,99
12398,1635.6599999999999,19.24305882352941,1,85,1394,0
12399,1108.65,18.790677966101697,4,47,1178,142
12401,84.3,16.86,1,5,11,0
12402,225.60000000000002,20.50909090909091,1,11,94,0
12403,427.7,85.53999999999999,1,5,96,0
12405,1710.39,31.67388888888889,1,54,857,0
12406,3415.3,32.52666666666667,2,91,1818,161
12407,1708.12,22.18337662337662,5,57,1416,214
12408,2888.55,27.51,5,81,1409,227
12409,11072.67,101.58412844036697,3,91,5551,103
12410,693.3299999999999,26.666538461538458,2,26,211,0
12412,1226.88,20.112786885245903,3,44,829,94
12413,758.1,19.95,3,29,286,270
12414,562.41,31.244999999999997,3,16,300,93
12415,124914.53,174.95032212885152,21,451,77374,313
12417,3649.1,19.005729166666665,9,159,1552,354
12418,668.58,19.664117647058823,1,34,407,0
12420,600.39,20.70310344827586,1,29,345,0
12421,807.04,17.93422222222222,4,32,484,303
12422,803.5600000000001,20.604102564102565,3,39,370,229
12423,1859.31,14.87448,8,96,1339,352
12424,1760.96,58.69866666666667,2,30,740,0
12425,777.2,21.58888888888889,1,36,496,0
12426,582.73,19.424333333333333,1,30,258,0
12427,825.8,26.638709677419353,3,26,533,349
12428,7956.46,27.062789115646257,9,259,3536,257
12429,3750.4,38.66391752577319,4,82,1557,356
12430,256.4,23.30909090909091,1,11,117,0
12431,6419.95,27.43568376068376,15,163,2896,338
12432,5059.32,46.845555555555556,5,107,1801,129
12433,13375.87,31.847309523809525,7,222,11071,372
12434,806.14,16.122799999999998,2,46,394,175
12435,7829.89,217.49694444444447,2,31,2055,188
12436,509.01,31.813125,1,16,211,0
12437,4951.41,24.88145728643216,18,119,2922,329
12438,2906.85,29.66173469387755,2,85,1180,125
12441,173.55,15.77727272727273,1,11,121,0
12442,172.06,14.338333333333333,1,12,182,0
12444,5005.46,28.440113636363638,5,138,1153,149
12445,133.4,33.35,1,4,62,0
12446,1002.3100000000001,17.584385964912283,1,57,351,0
12447,476.49,18.326538461538462,1,26,190,0
12448,449.45,20.429545454545455,1,22,243,0
12449,4067.29,21.294712041884818,4,119,1553,164
12450,197.88,24.735,2,7,128,17
12451,9035.52,25.524067796610172,5,265,6575,313
12452,430.57,19.571363636363635,2,21,185,0
12453,707.09,16.443953488372095,1,43,473,0
12454,3528.34,235.22266666666667,1,15,1006,0
12455,2466.86,27.409555555555556,6,85,2089,223
12456,3181.04,25.44832,3,105,1633,210
12457,2363.23,38.11661290322581,7,53,843,172
12458,947.4,24.931578947368422,2,35,506,213
12461,826.88,23.62514285714286,2,35,287,60
12462,1189.59,19.186935483870965,2,52,536,284
12463,1344.78,16.202168674698793,4,65,776,188
12464,1212.05,41.79482758620689,8,6,112,299
12465,742.1899999999999,15.79127659574468,2,46,479,152
12468,729.54,19.198421052631577,2,36,366,128
12471,19788.649999999998,43.112527233115465,30,153,8200,362
12472,6572.11,19.386755162241887,7,221,4148,336
12473,3928.0499999999997,23.52125748502994,5,140,2414,162
12474,7324.09,17.355663507109004,18,254,4833,312
12475,723.38,20.093888888888888,1,36,535,0
12476,6816.42,29.255021459227468,11,178,2408,345
12477,13219.74,44.065799999999996,6,193,3653,278
12478,680.99,18.91638888888889,1,36,236,0
12479,527.2,17.006451612903227,1,31,385,0
12480,3281.63,21.309285714285714,4,129,1707,307
12481,5579.82,25.8325,10,152,3294,342
12483,2484.98,33.133066666666664,8,46,1110,322
12484,4527.32,13.199183673469387,6,257,2187,303
12488,1298.66,23.612000000000002,3,46,529,65
12489,334.93,22.328666666666667,1,15,105,0
12490,5417.93,22.114,10,132,3064,324
12491,460.40000000000003,17.70769230769231,1,25,260,0
12492,263.21000000000004,13.160500000000003,2,19,192,42
12493,433.74,19.715454545454545,2,20,207,31
12494,1246.1,16.18311688311688,7,65,707,349
12497,1043.1,74.50714285714285,1,14,1236,0
12498,403.70000000000005,17.55217391304348,3,21,159,36
12500,4257.82,69.80032786885245,11,35,2678,310
12501,2169.39,14.559664429530201,1,149,1783,0
12502,3723.87,25.332448979591835,5,102,820,214
12504,482.04999999999995,53.5611111111111,2,6,90,12
12506,73.5,3.1956521739130435,1,23,23,0
12507,1304.81,62.13380952380952,3,19,894,164
12508,397.88,5.851176470588236,2,57,271,2
12509,176.5,25.214285714285715,1,7,55,0
12510,982.5699999999999,29.774848484848484,2,29,353,182
12512,132.18,4.263870967741935,2,31,96,0
12513,612.29,17.494,1,35,462,0
12514,1017.6800000000001,19.95450980392157,1,51,440,0
12515,383.7,23.98125,1,16,131,0
12516,1312.06,50.46384615384615,2,20,875,102
12517,2481.6,8.894623655913978,5,233,1361,161
12518,2056.89,16.58782258064516,5,84,1318,109
12519,330.84000000000003,19.46117647058824,1,17,175,0
12520,2634.2599999999998,17.33065789473684,5,122,1439,194
12521,599.68,15.781052631578946,1,38,309,0
12522,192.72,16.06,2,11,194,12
12523,1789.77,16.884622641509434,11,85,865,312
12524,4485.72,31.150833333333335,8,114,3699,324
12526,1316.66,18.54450704225352,3,64,632,93
12527,348.71000000000004,19.37277777777778,3,18,234,243
12528,1933.48,21.01608695652174,6,51,756,303
12530,1662.28,25.186060606060607,4,51,913,277
12531,125.22,7.365882352941177,1,17,45,0
12532,349.83000000000004,21.864375000000003,1,16,153,0
12534,1089.18,17.28857142857143,1,63,651,0
12535,716.35,21.069117647058825,2,28,219,94
12536,12601.830000000002,48.282873563218395,3,260,2803,15
12538,363.95,17.33095238095238,1,21,191,0
12539,5568.35,20.396886446886448,4,157,2067,311
12540,13400.24,28.03397489539749,17,277,6685,342
12541,981.18,18.868846153846153,3,47,680,251
12544,372.7,19.61578947368421,1,19,136,0
12545,1000.39,20.0078,2,42,523,184
12546,1161.5,16.833333333333332,2,59,633,31
12547,207.8,25.975,2,7,134,82
12548,95.19999999999999,19.04,1,5,49,0
12550,964.83,16.92684210526316,1,57,569,0
12551,168.0,16.8,1,10,100,0
12552,437.82,21.891,2,20,88,0
12553,3692.28,19.33130890052356,10,97,1965,321
12556,599.56,5.038319327731092,2,101,355,100
12557,11990.960000000001,363.36242424242425,5,20,4384,355
12558,269.96,24.54181818181818,1,11,196,0
12559,561.71,26.74809523809524,2,21,283,8
12560,2134.0099999999998,20.32390476190476,3,91,1110,137
12561,238.85,14.928125,1,16,177,0
12562,3781.7400000000002,22.510357142857146,7,100,1779,190
12564,456.9,21.757142857142856,1,21,133,0
12565,145.92,16.21333333333333,1,9,80,0
12566,351.65,18.507894736842104,1,19,265,0
12567,9401.28,21.079103139013455,10,323,4305,346
12569,4124.69,21.939840425531912,32,93,1801,250
12571,519.61,15.28264705882353,2,31,523,81
12572,1020.4200000000001,17.007,2,53,452,43
12573,160.54000000000002,5.733571428571429,1,26,84,0
12574,218.45000000000002,19.85909090909091,1,11,61,0
12576,1315.83,14.952613636363635,5,72,967,268
12577,626.6,4.291780821917809,3,137,469,323
12578,2794.51,24.51324561403509,2,111,1196,308
12579,440.42,15.18689655172414,1,29,285,0
12580,415.7,17.320833333333333,1,24,238,0
12581,197.71,13.180666666666667,1,15,161,0
12582,511.36,23.243636363636366,2,21,300,49
12583,7281.38,29.47927125506073,15,117,5060,370
12584,2338.15,24.355729166666666,9,45,416,276
12585,2040.1,23.44942528735632,2,77,1279,117
12586,196.94000000000003,17.903636363636366,1,11,79,0
12587,144.0,36.0,1,4,51,0
12588,214.89999999999998,21.49,1,10,53,0
12589,646.68,18.47657142857143,2,29,306,115
12590,9864.26,145.06264705882353,2,68,4283,0
12591,452.84999999999997,17.41730769230769,1,26,228,0
12592,437.6,24.311111111111114,2,11,290,121
12593,418.09999999999997,19.909523809523808,3,14,206,110
12594,3338.2200000000003,28.290000000000003,10,51,1777,285
12596,618.27,22.898888888888887,2,25,474,190
12597,3811.22,18.50106796116505,4,185,2236,248
12598,3023.08,22.902121212121212,8,84,1964,275
12599,1032.58,16.654516129032256,7,32,956,275
12600,2599.04,40.61,10,32,774,342
12601,577.0600000000001,20.609285714285715,5,21,245,142
12602,153.12,12.76,1,12,162,0
12603,739.1999999999999,369.59999999999997,1,2,63,0
12604,254.18,15.88625,2,15,201,182
12607,1579.51,15.63871287128713,1,101,1228,0
12609,1126.85,18.78083333333333,3,57,648,240
12610,2099.54,19.80698113207547,5,85,1049,103
12611,1193.32,18.35876923076923,1,65,846,0
12612,704.04,37.054736842105264,1,19,262,0
12613,3344.38,21.858692810457516,5,124,1644,204
12614,315.6,15.780000000000001,1,20,76,0
12615,2291.19,21.820857142857143,4,82,1376,166
12616,713.3,22.290625,2,25,284,202
12617,352.98,8.609268292682927,1,39,210,0
12618,177.31,16.11909090909091,1,11,96,0
12619,3641.24,40.45822222222222,9,50,3378,237
12620,1339.41,14.558804347826088,3,89,1181,189
12621,13689.67,29.31406852248394,20,265,7440,364
12622,180.1,16.37272727272727,1,11,69,0
12623,305.1,16.950000000000003,1,18,191,0
12624,641.13,16.87184210526316,2,36,355,71
12625,2683.82,31.207209302325584,2,74,1612,107
12626,6620.48,22.51863945578231,9,233,3453,303
12627,4478.53,19.47186956521739,7,162,2752,129
12628,786.46,19.181951219512197,3,34,448,60
12630,1270.88,19.8575,2,60,548,34
12631,640.5,20.661290322580644,1,31,236,0
12633,2163.98,21.425544554455445,4,73,1162,229
12635,1689.18,16.724554455445546,2,97,1172,65
12637,6002.9,15.714397905759162,8,206,2994,256
12638,671.69,17.222820512820515,1,39,577,0
12639,486.1,22.095454545454547,1,22,201,0
12640,1174.58,22.16188679245283,3,47,311,57
12641,185.9,18.59,1,10,72,0
12642,1013.26,21.558723404255318,3,39,552,82
12643,3344.64,139.35999999999999,6,11,1808,204
12644,477.90999999999997,15.416451612903225,1,31,325,0
12645,1775.18,24.31753424657534,4,58,1084,282
12646,1346.97,29.932666666666666,2,43,897,44
12647,3722.82,30.76710743801653,12,80,1431,346
12648,318.05,15.145238095238096,1,21,160,0
12649,623.51,20.113225806451613,3,28,586,105
12650,314.44,15.722,1,20,254,0
12651,114.0,12.666666666666666,1,9,78,0
12652,919.98,19.16625,1,48,505,0
12653,2209.85,51.391860465116274,2,37,919,147
12654,601.98,15.841578947368422,5,31,264,284
12656,4051.17,32.152142857142856,5,89,1723,216
12657,1643.18,34.961276595744685,4,35,1044,67
12658,686.05,19.056944444444444,1,36,320,0
12659,91.68,18.336000000000002,1,5,105,0
12660,245.1,18.853846153846153,1,13,127,0
12662,3849.78,16.73817391304348,11,129,2058,372
12664,4881.88,131.94270270270272,9,13,1203,314
12665,63.0,21.0,1,3,37,0
12667,620.13,18.791818181818183,1,33,395,0
12668,3807.15,23.64689440993789,4,116,1634,343
12669,2744.0299999999997,27.168613861386135,3,97,1115,105
12670,2996.05,32.56576086956522,5,58,1397,222
12672,225.9,22.59,1,10,78,0
12673,610.52,14.536190476190475,2,42,351,321
12674,1970.6,23.742168674698792,4,52,1133,169
12676,1331.39,29.586444444444446,6,33,670,286
12678,17628.46,106.83915151515151,12,107,10923,311
12679,1113.02,23.187916666666666,4,43,554,225
12680,862.81,16.592499999999998,4,33,443,112
12681,13787.54,21.610564263322885,22,269,7536,353
12682,12279.82,23.434770992366413,31,216,5555,367
12683,8476.57,24.641191860465117,15,180,4987,361
12684,2283.63,21.748857142857144,7,61,1985,205
12685,2863.08,18.236178343949042,6,117,1523,65
12686,89.14,12.734285714285715,1,7,107,0
12688,4873.8099999999995,28.501812865497072,1,170,3028,0
12689,1247.61,17.327916666666667,2,57,628,101
12690,389.01,24.313125,1,16,106,0
12691,1035.8,32.36875,6,21,394,329
12693,855.91,21.946410256410257,4,35,255,192
12694,869.67,23.504594594594593,2,32,509,112
12695,582.1,21.55925925925926,4,23,220,203
12697,957.59,23.355853658536585,3,37,508,140
12700,4939.99,18.432798507462685,4,194,2967,207
12701,797.71,15.051132075471699,2,50,678,162
12702,219.0,18.25,1,12,53,0
12703,283.55,13.502380952380953,1,21,164,0
12704,2340.84,26.600454545454546,8,64,1006,162
12705,6868.29,20.56374251497006,9,229,3997,341
12707,603.42,18.285454545454545,1,33,256,0
12708,2712.91,17.27968152866242,10,86,1307,338
12709,9706.52,46.891400966183575,15,93,3912,351
12710,1149.02,14.922337662337663,3,75,851,104
12712,4396.13,33.053609022556394,13,58,1062,342
12713,848.55,22.330263157894734,1,38,508,0
12714,4708.86,18.18092664092664,5,217,3069,285
12715,343.36,17.168,1,20,192,0
12716,1053.49,15.267971014492753,2,60,708,129
12717,1030.98,18.74509090909091,2,49,506,94
12718,238.25,12.539473684210526,1,19,203,0
12719,644.95,16.53717948717949,2,34,374,59
12720,5781.73,16.332570621468925,25,217,4672,366
12721,2656.13,16.497701863354038,6,134,1959,323
12722,997.63,18.82320754716981,4,50,566,65
12723,725.07,10.508260869565218,5,53,434,61
12724,1031.41,19.460566037735852,4,48,445,327
12725,427.8,17.825,1,24,164,0
12726,2609.1,21.041129032258063,7,57,3143,329
12727,3980.7,28.638129496402875,7,109,2098,309
12728,836.33,18.18108695652174,4,38,419,261
12729,453.01,17.423461538461538,1,26,233,0
12731,18895.91,68.96317518248175,12,109,8437,341
12732,236.26000000000002,19.688333333333336,1,12,111,0
12733,383.95,17.452272727272728,1,22,137,0
12734,110.39999999999999,27.599999999999998,1,4,88,0
12735,779.5699999999999,18.12953488372093,2,38,368,21
12736,234.0,58.5,1,4,173,0
12738,155.35,14.122727272727273,1,11,148,0
12739,1013.04,26.658947368421053,2,38,486,20
12740,427.6,15.837037037037037,1,27,342,0
12743,540.13,4.123129770992366,2,114,315,0
12744,21279.29,95.85265765765766,7,179,5241,266
12747,4196.01,40.737961165048546,11,43,1275,366
12748,33053.19,7.491656844968269,209,1778,25287,372
12749,4090.88,20.55718592964824,5,162,1471,209
12750,275.88,18.392,1,15,137,0
12752,4366.78,82.3920754716981,1,53,2262,0
12753,21429.39,108.77862944162436,6,133,11421,339
12754,3010.74,47.78952380952381,3,49,6481,72
12755,3811.9500000000003,952.9875000000001,2,4,1491,85
12756,112.08,28.02,1,4,144,0
12757,7834.650000000001,21.52376373626374,13,239,2395,195
12758,2791.59,28.779278350515465,2,84,2135,159
12759,1531.44,16.12042105263158,3,81,902,223
12762,1898.52,27.51478260869565,2,62,1227,17
12763,494.08,27.448888888888888,2,16,316,230
12764,1693.88,37.64177777777778,1,45,386,0
12766,6989.63,22.547193548387096,7,205,3646,362
12769,1143.6,35.7375,1,32,356,0
12770,1351.45,112.62083333333334,1,12,743,0
12772,892.47,16.226727272727274,1,55,556,0
12775,1386.04,21.00060606060606,5,48,877,294
12778,822.23,16.4446,6,40,825,292
12779,3981.36,26.72053691275168,8,89,2024,333
12781,826.74,33.0696,2,25,671,221
12782,2330.92,22.630291262135923,5,82,1086,352
12783,2225.91,26.49892857142857,6,76,624,73
12784,532.82,9.347719298245615,2,54,280,6
12785,311.95,22.282142857142855,1,14,131,0
12787,463.66,23.183,3,17,261,182
12789,91.85,22.9625,1,4,4,0
12790,324.92,15.472380952380954,1,21,166,0
12791,192.60000000000002,96.30000000000001,1,2,97,0
12792,400.53999999999996,16.0216,1,25,217,0
12793,545.48,22.728333333333335,2,21,295,36
12794,860.41,19.12022222222222,2,43,592,45
12795,430.48,30.74857142857143,1,14,68,0
12797,254.03,19.540769230769232,1,13,118,0
12798,6977.04,872.13,3,6,5256,160
12802,427.58,17.1032,1,25,314,0
12808,483.65000000000003,17.273214285714285,3,27,188,331
12809,489.31,19.572400000000002,1,25,220,0
12811,514.85,16.608064516129033,3,27,230,23
12812,229.64000000000001,15.309333333333335,1,15,164,0
12814,125.92,62.96,1,2,49,0
12815,1063.46,22.6268085106383,2,38,379,50
12816,572.2,19.731034482758623,2,27,128,80
12817,166.04,41.51,1,4,53,0
12818,1542.08,110.14857142857143,1,14,929,0
12820,942.34,15.97186440677966,4,55,722,323
12821,92.72,15.453333333333333,1,6,70,0
12822,948.88,20.62782608695652,2,41,550,16
12823,1759.5,351.9,5,1,230,221
12824,397.12,15.8848,1,25,232,0
12826,1474.72,16.205714285714286,7,59,1058,362
12827,430.15,17.206,3,19,197,38
12828,1018.71,18.19125,6,46,494,127
12829,293.0,26.636363636363637,2,9,376,23
12830,6814.64,179.33263157894737,6,13,9848,134
12831,215.05,23.894444444444446,1,9,135,0
12832,383.03000000000003,14.186296296296298,2,27,195,65
12833,417.38,17.390833333333333,1,24,156,0
12834,312.38,17.354444444444443,1,18,110,0
12836,2610.36,15.002068965517243,4,148,1062,252
12837,134.1,11.174999999999999,1,12,24,0
12838,671.95,5.599583333333333,2,116,355,340
12839,5591.42,17.80707006369427,14,98,3807,364
12840,2726.77,24.13070796460177,4,67,1511,82
12841,3991.58,9.641497584541062,25,230,2720,367
12842,1118.99,32.9114705882353,2,34,547,238
12843,1702.26,16.526796116504855,8,69,781,198
12844,325.96000000000004,6.268461538461539,2,47,125,101
12845,354.09000000000003,13.114444444444446,4,26,204,22
12847,843.64,10.043333333333333,1,72,873,0
12849,1010.29,21.047708333333333,2,47,597,237
12851,131.81,2.8044680851063832,1,43,106,0
12852,311.55,18.326470588235296,1,17,149,0
12853,1957.1000000000001,25.09102564102564,6,66,800,181
12854,1316.25,12.075688073394495,3,95,626,239
12855,38.1,12.700000000000001,1,3,30,0
12856,2170.78,6.98,6,155,1076,55
12857,1106.4,24.05217391304348,2,37,343,91
12863,521.2,104.24000000000001,1,5,188,0
12864,147.12,49.04,1,3,216,0
12865,1568.23,16.507684210526318,2,86,925,97
12866,559.12,21.504615384615384,1,26,171,0
12867,4009.34,7.50812734082397,7,247,4284,333
12868,1607.0600000000002,15.0192523364486,6,72,928,187
12871,380.64,34.60363636363636,2,8,200,123
12872,599.97,9.090454545454547,2,58,319,38
12873,374.0,93.5,1,4,128,0
12875,343.2300000000001,171.61500000000004,2,1,2019,219
12876,2218.02,26.09435294117647,2,67,1941,138
12877,1535.77,9.972532467532467,12,100,1178,354
12878,854.99,18.191276595744682,2,38,547,29
12879,573.22,57.322,3,7,370,47
12881,298.0,42.57142857142857,1,7,21,0
12882,1463.04,112.54153846153847,2,12,246,24
12883,703.47,16.749285714285715,4,39,196,64
12884,309.05,44.15,1,7,43,0
12885,1175.22,16.552394366197184,3,66,655,60
12886,1378.4,16.809756097560978,2,75,770,151
12888,354.12,70.824,2,4,76,41
12890,376.71999999999997,4.768607594936708,1,78,256,0
12891,331.0,110.33333333333333,3,2,950,107
12893,176.55,5.695161290322581,1,27,90,0
12895,372.8,16.945454545454545,2,22,210,44
12897,216.5,54.125,2,3,110,97
12901,17654.54,152.19431034482758,28,30,23075,261
12902,138.68,13.868,1,10,66,0
12904,496.06,6.986760563380281,2,59,294,154
12906,2919.81,46.34619047619047,5,55,1749,66
12908,750.0,375.0,2,1,1200,136
12909,2178.67,23.941428571428574,5,79,1280,213
12910,3075.04,41.00053333333333,8,49,1692,218
12912,1662.3,69.2625,5,17,670,37
12913,2483.63,49.6726,5,38,1419,363
12915,363.65,16.529545454545453,2,19,93,223
12916,2944.95,28.59174757281553,4,55,1083,181
12917,594.0,297.0,1,2,120,0
12919,1335.19,26.7038,6,34,673,161
12920,162.78,6.028888888888889,1,27,128,0
